Label,Value
"Engenharias","34"
"Ciências Sociais Aplicadas","10"
"Ciências Exatas e da Terra","7"
"Ciências Agrárias","6"
"Ciências Biológicas","5"
"Ciências da Saúde","5"
"Ciências Humanas","2"
