Label,Value
"1996","1"
"1998","1"
"1999","1"
"2000","1"
"2001","1"
"2002","1"
"2003","2"
"2004","1"
"2006","6"
"2007","6"
"2008","1"
"2009","1"
"2010","5"
"2011","5"
"2012","13"
"2013","9"
"2014","3"
